,0,1,2,3,4
0,0,A1,A1,A1,A1
1,1,A1,A1,A1,A2
2,2,A1,A1,A1,A3
3,3,A1,A1,A1,A4
4,4,A1,A1,A1,TX
5,5,A1,A1,A1,B1
6,6,A1,A1,A1,B2
7,7,A1,A1,A1,B3
8,8,A1,A1,A1,B4
9,9,A1,A1,A1,TY
10,10,A1,A1,A1,C1
11,11,A1,A1,A1,C2
12,12,A1,A1,A1,C3
13,13,A1,A1,A1,C4
14,14,A1,A1,A1,TZ
15,15,A1,A1,A2,A1
16,16,A1,A1,A2,A2
17,17,A1,A1,A2,A3
18,18,A1,A1,A2,A4
19,19,A1,A1,A2,TX
20,20,A1,A1,A2,B1
21,21,A1,A1,A2,B2
22,22,A1,A1,A2,B3
23,23,A1,A1,A2,B4
24,24,A1,A1,A2,TY
25,25,A1,A1,A2,C1
26,26,A1,A1,A2,C2
27,27,A1,A1,A2,C3
28,28,A1,A1,A2,C4
29,29,A1,A1,A2,TZ
30,30,A1,A1,A3,A1
31,31,A1,A1,A3,A2
32,32,A1,A1,A3,A3
33,33,A1,A1,A3,A4
34,34,A1,A1,A3,TX
35,35,A1,A1,A3,B1
36,36,A1,A1,A3,B2
37,37,A1,A1,A3,B3
38,38,A1,A1,A3,B4
39,39,A1,A1,A3,TY
40,40,A1,A1,A3,C1
41,41,A1,A1,A3,C2
42,42,A1,A1,A3,C3
43,43,A1,A1,A3,C4
44,44,A1,A1,A3,TZ
45,45,A1,A1,A4,A1
46,46,A1,A1,A4,A2
47,47,A1,A1,A4,A3
48,48,A1,A1,A4,A4
49,49,A1,A1,A4,TX
50,50,A1,A1,A4,B1
51,51,A1,A1,A4,B2
52,52,A1,A1,A4,B3
53,53,A1,A1,A4,B4
54,54,A1,A1,A4,TY
55,55,A1,A1,A4,C1
56,56,A1,A1,A4,C2
57,57,A1,A1,A4,C3
58,58,A1,A1,A4,C4
59,59,A1,A1,A4,TZ
60,60,A1,A1,TX,A1
61,61,A1,A1,TX,A2
62,62,A1,A1,TX,A3
63,63,A1,A1,TX,A4
64,64,A1,A1,TX,TX
65,65,A1,A1,TX,B1
66,66,A1,A1,TX,B2
67,67,A1,A1,TX,B3
68,68,A1,A1,TX,B4
69,69,A1,A1,TX,TY
70,70,A1,A1,TX,C1
71,71,A1,A1,TX,C2
72,72,A1,A1,TX,C3
73,73,A1,A1,TX,C4
74,74,A1,A1,TX,TZ
75,75,A1,A1,B1,A1
76,76,A1,A1,B1,A2
77,77,A1,A1,B1,A3
78,78,A1,A1,B1,A4
79,79,A1,A1,B1,TX
80,80,A1,A1,B1,B1
