id_trial,st_sample,st_comp1,st_comp2,st_comp3,sample_c1_subset,sample_c2_subset,sample_c3_subset,option_answer
16,A1,A1,A2,A2,reflexivity,0,0,O_1
17,A1,A1,A2,A3,reflexivity,0,0,O_1
18,A1,A1,A2,A4,reflexivity,0,0,O_1
19,A1,A1,A2,TX,reflexivity,0,0,O_1
21,A1,A1,A2,B2,reflexivity,0,0,O_1
22,A1,A1,A2,B3,reflexivity,0,0,O_1
23,A1,A1,A2,B4,reflexivity,0,0,O_1
24,A1,A1,A2,TY,reflexivity,0,0,O_1
26,A1,A1,A2,C2,reflexivity,0,0,O_1
27,A1,A1,A2,C3,reflexivity,0,0,O_1
28,A1,A1,A2,C4,reflexivity,0,0,O_1
29,A1,A1,A2,TZ,reflexivity,0,0,O_1
31,A1,A1,A3,A2,reflexivity,0,0,O_1
32,A1,A1,A3,A3,reflexivity,0,0,O_1
33,A1,A1,A3,A4,reflexivity,0,0,O_1
34,A1,A1,A3,TX,reflexivity,0,0,O_1
36,A1,A1,A3,B2,reflexivity,0,0,O_1
37,A1,A1,A3,B3,reflexivity,0,0,O_1
38,A1,A1,A3,B4,reflexivity,0,0,O_1
39,A1,A1,A3,TY,reflexivity,0,0,O_1
41,A1,A1,A3,C2,reflexivity,0,0,O_1
42,A1,A1,A3,C3,reflexivity,0,0,O_1
43,A1,A1,A3,C4,reflexivity,0,0,O_1
44,A1,A1,A3,TZ,reflexivity,0,0,O_1
46,A1,A1,A4,A2,reflexivity,0,0,O_1
47,A1,A1,A4,A3,reflexivity,0,0,O_1
48,A1,A1,A4,A4,reflexivity,0,0,O_1
49,A1,A1,A4,TX,reflexivity,0,0,O_1
51,A1,A1,A4,B2,reflexivity,0,0,O_1
52,A1,A1,A4,B3,reflexivity,0,0,O_1
53,A1,A1,A4,B4,reflexivity,0,0,O_1
54,A1,A1,A4,TY,reflexivity,0,0,O_1
56,A1,A1,A4,C2,reflexivity,0,0,O_1
57,A1,A1,A4,C3,reflexivity,0,0,O_1
58,A1,A1,A4,C4,reflexivity,0,0,O_1
59,A1,A1,A4,TZ,reflexivity,0,0,O_1
61,A1,A1,TX,A2,reflexivity,0,0,O_1
62,A1,A1,TX,A3,reflexivity,0,0,O_1
63,A1,A1,TX,A4,reflexivity,0,0,O_1
64,A1,A1,TX,TX,reflexivity,0,0,O_1
66,A1,A1,TX,B2,reflexivity,0,0,O_1
67,A1,A1,TX,B3,reflexivity,0,0,O_1
68,A1,A1,TX,B4,reflexivity,0,0,O_1
69,A1,A1,TX,TY,reflexivity,0,0,O_1
71,A1,A1,TX,C2,reflexivity,0,0,O_1
72,A1,A1,TX,C3,reflexivity,0,0,O_1
73,A1,A1,TX,C4,reflexivity,0,0,O_1
74,A1,A1,TX,TZ,reflexivity,0,0,O_1
91,A1,A1,B2,A2,reflexivity,0,0,O_1
92,A1,A1,B2,A3,reflexivity,0,0,O_1
93,A1,A1,B2,A4,reflexivity,0,0,O_1
94,A1,A1,B2,TX,reflexivity,0,0,O_1
96,A1,A1,B2,B2,reflexivity,0,0,O_1
97,A1,A1,B2,B3,reflexivity,0,0,O_1
98,A1,A1,B2,B4,reflexivity,0,0,O_1
99,A1,A1,B2,TY,reflexivity,0,0,O_1
101,A1,A1,B2,C2,reflexivity,0,0,O_1
102,A1,A1,B2,C3,reflexivity,0,0,O_1
103,A1,A1,B2,C4,reflexivity,0,0,O_1
104,A1,A1,B2,TZ,reflexivity,0,0,O_1
106,A1,A1,B3,A2,reflexivity,0,0,O_1
107,A1,A1,B3,A3,reflexivity,0,0,O_1
108,A1,A1,B3,A4,reflexivity,0,0,O_1
109,A1,A1,B3,TX,reflexivity,0,0,O_1
111,A1,A1,B3,B2,reflexivity,0,0,O_1
112,A1,A1,B3,B3,reflexivity,0,0,O_1
113,A1,A1,B3,B4,reflexivity,0,0,O_1
114,A1,A1,B3,TY,reflexivity,0,0,O_1
116,A1,A1,B3,C2,reflexivity,0,0,O_1
117,A1,A1,B3,C3,reflexivity,0,0,O_1
118,A1,A1,B3,C4,reflexivity,0,0,O_1
119,A1,A1,B3,TZ,reflexivity,0,0,O_1
121,A1,A1,B4,A2,reflexivity,0,0,O_1
122,A1,A1,B4,A3,reflexivity,0,0,O_1
123,A1,A1,B4,A4,reflexivity,0,0,O_1
124,A1,A1,B4,TX,reflexivity,0,0,O_1
126,A1,A1,B4,B2,reflexivity,0,0,O_1
127,A1,A1,B4,B3,reflexivity,0,0,O_1
128,A1,A1,B4,B4,reflexivity,0,0,O_1
129,A1,A1,B4,TY,reflexivity,0,0,O_1
131,A1,A1,B4,C2,reflexivity,0,0,O_1
132,A1,A1,B4,C3,reflexivity,0,0,O_1
133,A1,A1,B4,C4,reflexivity,0,0,O_1
134,A1,A1,B4,TZ,reflexivity,0,0,O_1
136,A1,A1,TY,A2,reflexivity,0,0,O_1
137,A1,A1,TY,A3,reflexivity,0,0,O_1
138,A1,A1,TY,A4,reflexivity,0,0,O_1
139,A1,A1,TY,TX,reflexivity,0,0,O_1
141,A1,A1,TY,B2,reflexivity,0,0,O_1
142,A1,A1,TY,B3,reflexivity,0,0,O_1
143,A1,A1,TY,B4,reflexivity,0,0,O_1
144,A1,A1,TY,TY,reflexivity,0,0,O_1
146,A1,A1,TY,C2,reflexivity,0,0,O_1
147,A1,A1,TY,C3,reflexivity,0,0,O_1
148,A1,A1,TY,C4,reflexivity,0,0,O_1
149,A1,A1,TY,TZ,reflexivity,0,0,O_1
166,A1,A1,C2,A2,reflexivity,0,0,O_1
167,A1,A1,C2,A3,reflexivity,0,0,O_1
168,A1,A1,C2,A4,reflexivity,0,0,O_1
169,A1,A1,C2,TX,reflexivity,0,0,O_1
171,A1,A1,C2,B2,reflexivity,0,0,O_1
172,A1,A1,C2,B3,reflexivity,0,0,O_1
173,A1,A1,C2,B4,reflexivity,0,0,O_1
174,A1,A1,C2,TY,reflexivity,0,0,O_1
176,A1,A1,C2,C2,reflexivity,0,0,O_1
177,A1,A1,C2,C3,reflexivity,0,0,O_1
178,A1,A1,C2,C4,reflexivity,0,0,O_1
179,A1,A1,C2,TZ,reflexivity,0,0,O_1
181,A1,A1,C3,A2,reflexivity,0,0,O_1
182,A1,A1,C3,A3,reflexivity,0,0,O_1
183,A1,A1,C3,A4,reflexivity,0,0,O_1
184,A1,A1,C3,TX,reflexivity,0,0,O_1
186,A1,A1,C3,B2,reflexivity,0,0,O_1
187,A1,A1,C3,B3,reflexivity,0,0,O_1
188,A1,A1,C3,B4,reflexivity,0,0,O_1
189,A1,A1,C3,TY,reflexivity,0,0,O_1
191,A1,A1,C3,C2,reflexivity,0,0,O_1
192,A1,A1,C3,C3,reflexivity,0,0,O_1
193,A1,A1,C3,C4,reflexivity,0,0,O_1
194,A1,A1,C3,TZ,reflexivity,0,0,O_1
196,A1,A1,C4,A2,reflexivity,0,0,O_1
197,A1,A1,C4,A3,reflexivity,0,0,O_1
198,A1,A1,C4,A4,reflexivity,0,0,O_1
199,A1,A1,C4,TX,reflexivity,0,0,O_1
201,A1,A1,C4,B2,reflexivity,0,0,O_1
202,A1,A1,C4,B3,reflexivity,0,0,O_1
203,A1,A1,C4,B4,reflexivity,0,0,O_1
204,A1,A1,C4,TY,reflexivity,0,0,O_1
206,A1,A1,C4,C2,reflexivity,0,0,O_1
207,A1,A1,C4,C3,reflexivity,0,0,O_1
208,A1,A1,C4,C4,reflexivity,0,0,O_1
209,A1,A1,C4,TZ,reflexivity,0,0,O_1
211,A1,A1,TZ,A2,reflexivity,0,0,O_1
212,A1,A1,TZ,A3,reflexivity,0,0,O_1
213,A1,A1,TZ,A4,reflexivity,0,0,O_1
214,A1,A1,TZ,TX,reflexivity,0,0,O_1
216,A1,A1,TZ,B2,reflexivity,0,0,O_1
217,A1,A1,TZ,B3,reflexivity,0,0,O_1
218,A1,A1,TZ,B4,reflexivity,0,0,O_1
219,A1,A1,TZ,TY,reflexivity,0,0,O_1
221,A1,A1,TZ,C2,reflexivity,0,0,O_1
222,A1,A1,TZ,C3,reflexivity,0,0,O_1
223,A1,A1,TZ,C4,reflexivity,0,0,O_1
224,A1,A1,TZ,TZ,reflexivity,0,0,O_1
226,A1,A2,A1,A2,0,reflexivity,0,O_2
227,A1,A2,A1,A3,0,reflexivity,0,O_2
228,A1,A2,A1,A4,0,reflexivity,0,O_2
229,A1,A2,A1,TX,0,reflexivity,0,O_2
231,A1,A2,A1,B2,0,reflexivity,0,O_2
232,A1,A2,A1,B3,0,reflexivity,0,O_2
233,A1,A2,A1,B4,0,reflexivity,0,O_2
234,A1,A2,A1,TY,0,reflexivity,0,O_2
