,0,1,2,3
0,0,A1,A1,reflexivity
1,0,A1,A1,reflexivity
2,0,A1,A1,reflexivity
3,1,A1,A1,reflexivity
4,1,A1,A1,reflexivity
5,1,A1,A2,0
6,2,A1,A1,reflexivity
7,2,A1,A1,reflexivity
8,2,A1,A3,0
9,3,A1,A1,reflexivity
10,3,A1,A1,reflexivity
11,3,A1,A4,0
12,4,A1,A1,reflexivity
13,4,A1,A1,reflexivity
14,4,A1,TX,0
15,5,A1,A1,reflexivity
16,5,A1,A1,reflexivity
17,5,A1,B1,train
18,6,A1,A1,reflexivity
19,6,A1,A1,reflexivity
20,6,A1,B2,0
21,7,A1,A1,reflexivity
22,7,A1,A1,reflexivity
23,7,A1,B3,0
24,8,A1,A1,reflexivity
25,8,A1,A1,reflexivity
26,8,A1,B4,0
27,9,A1,A1,reflexivity
28,9,A1,A1,reflexivity
29,9,A1,TY,0
30,10,A1,A1,reflexivity
31,10,A1,A1,reflexivity
32,10,A1,C1,transitivity
33,11,A1,A1,reflexivity
34,11,A1,A1,reflexivity
35,11,A1,C2,0
36,12,A1,A1,reflexivity
37,12,A1,A1,reflexivity
38,12,A1,C3,0
39,13,A1,A1,reflexivity
40,13,A1,A1,reflexivity
41,13,A1,C4,0
42,14,A1,A1,reflexivity
43,14,A1,A1,reflexivity
44,14,A1,TZ,0
45,15,A1,A1,reflexivity
46,15,A1,A2,0
47,15,A1,A1,reflexivity
48,16,A1,A1,reflexivity
49,16,A1,A2,0
50,16,A1,A2,0
51,17,A1,A1,reflexivity
52,17,A1,A2,0
53,17,A1,A3,0
54,18,A1,A1,reflexivity
55,18,A1,A2,0
56,18,A1,A4,0
57,19,A1,A1,reflexivity
58,19,A1,A2,0
59,19,A1,TX,0
60,20,A1,A1,reflexivity
61,20,A1,A2,0
62,20,A1,B1,train
63,21,A1,A1,reflexivity
64,21,A1,A2,0
65,21,A1,B2,0
66,22,A1,A1,reflexivity
67,22,A1,A2,0
68,22,A1,B3,0
69,23,A1,A1,reflexivity
70,23,A1,A2,0
71,23,A1,B4,0
72,24,A1,A1,reflexivity
73,24,A1,A2,0
74,24,A1,TY,0
75,25,A1,A1,reflexivity
76,25,A1,A2,0
77,25,A1,C1,transitivity
78,26,A1,A1,reflexivity
79,26,A1,A2,0
80,26,A1,C2,0
81,27,A1,A1,reflexivity
82,27,A1,A2,0
83,27,A1,C3,0
84,28,A1,A1,reflexivity
85,28,A1,A2,0
86,28,A1,C4,0
87,29,A1,A1,reflexivity
88,29,A1,A2,0
89,29,A1,TZ,0
90,30,A1,A1,reflexivity
91,30,A1,A3,0
92,30,A1,A1,reflexivity
93,31,A1,A1,reflexivity
94,31,A1,A3,0
95,31,A1,A2,0
96,32,A1,A1,reflexivity
97,32,A1,A3,0
98,32,A1,A3,0
99,33,A1,A1,reflexivity
100,33,A1,A3,0
101,33,A1,A4,0
102,34,A1,A1,reflexivity
103,34,A1,A3,0
104,34,A1,TX,0
105,35,A1,A1,reflexivity
106,35,A1,A3,0
107,35,A1,B1,train
108,36,A1,A1,reflexivity
109,36,A1,A3,0
110,36,A1,B2,0
111,37,A1,A1,reflexivity
112,37,A1,A3,0
113,37,A1,B3,0
114,38,A1,A1,reflexivity
115,38,A1,A3,0
116,38,A1,B4,0
117,39,A1,A1,reflexivity
118,39,A1,A3,0
119,39,A1,TY,0
120,40,A1,A1,reflexivity
121,40,A1,A3,0
122,40,A1,C1,transitivity
123,41,A1,A1,reflexivity
124,41,A1,A3,0
125,41,A1,C2,0
126,42,A1,A1,reflexivity
127,42,A1,A3,0
128,42,A1,C3,0
129,43,A1,A1,reflexivity
130,43,A1,A3,0
131,43,A1,C4,0
132,44,A1,A1,reflexivity
133,44,A1,A3,0
134,44,A1,TZ,0
135,45,A1,A1,reflexivity
136,45,A1,A4,0
137,45,A1,A1,reflexivity
138,46,A1,A1,reflexivity
139,46,A1,A4,0
140,46,A1,A2,0
141,47,A1,A1,reflexivity
142,47,A1,A4,0
143,47,A1,A3,0
144,48,A1,A1,reflexivity
145,48,A1,A4,0
146,48,A1,A4,0
147,49,A1,A1,reflexivity
148,49,A1,A4,0
149,49,A1,TX,0
150,50,A1,A1,reflexivity
151,50,A1,A4,0
152,50,A1,B1,train
153,51,A1,A1,reflexivity
154,51,A1,A4,0
155,51,A1,B2,0
156,52,A1,A1,reflexivity
157,52,A1,A4,0
158,52,A1,B3,0
159,53,A1,A1,reflexivity
160,53,A1,A4,0
161,53,A1,B4,0
162,54,A1,A1,reflexivity
163,54,A1,A4,0
164,54,A1,TY,0
165,55,A1,A1,reflexivity
166,55,A1,A4,0
167,55,A1,C1,transitivity
168,56,A1,A1,reflexivity
169,56,A1,A4,0
170,56,A1,C2,0
171,57,A1,A1,reflexivity
172,57,A1,A4,0
173,57,A1,C3,0
174,58,A1,A1,reflexivity
175,58,A1,A4,0
176,58,A1,C4,0
177,59,A1,A1,reflexivity
178,59,A1,A4,0
179,59,A1,TZ,0
180,60,A1,A1,reflexivity
181,60,A1,TX,0
182,60,A1,A1,reflexivity
183,61,A1,A1,reflexivity
184,61,A1,TX,0
185,61,A1,A2,0
186,62,A1,A1,reflexivity
187,62,A1,TX,0
188,62,A1,A3,0
189,63,A1,A1,reflexivity
190,63,A1,TX,0
191,63,A1,A4,0
192,64,A1,A1,reflexivity
193,64,A1,TX,0
194,64,A1,TX,0
195,65,A1,A1,reflexivity
196,65,A1,TX,0
197,65,A1,B1,train
198,66,A1,A1,reflexivity
199,66,A1,TX,0
200,66,A1,B2,0
201,67,A1,A1,reflexivity
202,67,A1,TX,0
203,67,A1,B3,0
204,68,A1,A1,reflexivity
205,68,A1,TX,0
206,68,A1,B4,0
207,69,A1,A1,reflexivity
208,69,A1,TX,0
209,69,A1,TY,0
210,70,A1,A1,reflexivity
211,70,A1,TX,0
212,70,A1,C1,transitivity
213,71,A1,A1,reflexivity
214,71,A1,TX,0
215,71,A1,C2,0
216,72,A1,A1,reflexivity
217,72,A1,TX,0
218,72,A1,C3,0
219,73,A1,A1,reflexivity
220,73,A1,TX,0
221,73,A1,C4,0
222,74,A1,A1,reflexivity
223,74,A1,TX,0
224,74,A1,TZ,0
225,75,A1,A1,reflexivity
226,75,A1,B1,train
227,75,A1,A1,reflexivity
228,76,A1,A1,reflexivity
229,76,A1,B1,train
230,76,A1,A2,0
231,77,A1,A1,reflexivity
232,77,A1,B1,train
233,77,A1,A3,0
234,78,A1,A1,reflexivity
235,78,A1,B1,train
236,78,A1,A4,0
237,79,A1,A1,reflexivity
238,79,A1,B1,train
239,79,A1,TX,0
240,80,A1,A1,reflexivity
241,80,A1,B1,train
242,80,A1,B1,train
243,81,A1,A1,reflexivity
244,81,A1,B1,train
245,81,A1,B2,0
246,82,A1,A1,reflexivity
247,82,A1,B1,train
248,82,A1,B3,0
249,83,A1,A1,reflexivity
250,83,A1,B1,train
251,83,A1,B4,0
252,84,A1,A1,reflexivity
253,84,A1,B1,train
254,84,A1,TY,0
255,85,A1,A1,reflexivity
256,85,A1,B1,train
257,85,A1,C1,transitivity
258,86,A1,A1,reflexivity
259,86,A1,B1,train
260,86,A1,C2,0
261,87,A1,A1,reflexivity
262,87,A1,B1,train
263,87,A1,C3,0
264,88,A1,A1,reflexivity
265,88,A1,B1,train
266,88,A1,C4,0
267,89,A1,A1,reflexivity
268,89,A1,B1,train
269,89,A1,TZ,0
270,90,A1,A1,reflexivity
271,90,A1,B2,0
272,90,A1,A1,reflexivity
273,91,A1,A1,reflexivity
274,91,A1,B2,0
275,91,A1,A2,0
276,92,A1,A1,reflexivity
277,92,A1,B2,0
278,92,A1,A3,0
279,93,A1,A1,reflexivity
280,93,A1,B2,0
281,93,A1,A4,0
282,94,A1,A1,reflexivity
283,94,A1,B2,0
284,94,A1,TX,0
285,95,A1,A1,reflexivity
286,95,A1,B2,0
287,95,A1,B1,train
288,96,A1,A1,reflexivity
289,96,A1,B2,0
290,96,A1,B2,0
291,97,A1,A1,reflexivity
292,97,A1,B2,0
293,97,A1,B3,0
294,98,A1,A1,reflexivity
295,98,A1,B2,0
296,98,A1,B4,0
297,99,A1,A1,reflexivity
298,99,A1,B2,0
299,99,A1,TY,0
300,100,A1,A1,reflexivity
301,100,A1,B2,0
302,100,A1,C1,transitivity
303,101,A1,A1,reflexivity
304,101,A1,B2,0
305,101,A1,C2,0
306,102,A1,A1,reflexivity
307,102,A1,B2,0
308,102,A1,C3,0
309,103,A1,A1,reflexivity
310,103,A1,B2,0
311,103,A1,C4,0
312,104,A1,A1,reflexivity
313,104,A1,B2,0
314,104,A1,TZ,0
315,105,A1,A1,reflexivity
316,105,A1,B3,0
317,105,A1,A1,reflexivity
318,106,A1,A1,reflexivity
319,106,A1,B3,0
320,106,A1,A2,0
321,107,A1,A1,reflexivity
322,107,A1,B3,0
323,107,A1,A3,0
324,108,A1,A1,reflexivity
325,108,A1,B3,0
326,108,A1,A4,0
327,109,A1,A1,reflexivity
328,109,A1,B3,0
329,109,A1,TX,0
330,110,A1,A1,reflexivity
331,110,A1,B3,0
332,110,A1,B1,train
333,111,A1,A1,reflexivity
334,111,A1,B3,0
335,111,A1,B2,0
336,112,A1,A1,reflexivity
337,112,A1,B3,0
338,112,A1,B3,0
339,113,A1,A1,reflexivity
340,113,A1,B3,0
341,113,A1,B4,0
342,114,A1,A1,reflexivity
343,114,A1,B3,0
344,114,A1,TY,0
345,115,A1,A1,reflexivity
346,115,A1,B3,0
347,115,A1,C1,transitivity
348,116,A1,A1,reflexivity
349,116,A1,B3,0
350,116,A1,C2,0
351,117,A1,A1,reflexivity
352,117,A1,B3,0
353,117,A1,C3,0
354,118,A1,A1,reflexivity
355,118,A1,B3,0
356,118,A1,C4,0
357,119,A1,A1,reflexivity
358,119,A1,B3,0
359,119,A1,TZ,0
360,120,A1,A1,reflexivity
361,120,A1,B4,0
362,120,A1,A1,reflexivity
363,121,A1,A1,reflexivity
364,121,A1,B4,0
365,121,A1,A2,0
366,122,A1,A1,reflexivity
367,122,A1,B4,0
368,122,A1,A3,0
369,123,A1,A1,reflexivity
370,123,A1,B4,0
371,123,A1,A4,0
372,124,A1,A1,reflexivity
373,124,A1,B4,0
374,124,A1,TX,0
375,125,A1,A1,reflexivity
376,125,A1,B4,0
377,125,A1,B1,train
378,126,A1,A1,reflexivity
379,126,A1,B4,0
380,126,A1,B2,0
381,127,A1,A1,reflexivity
