,0,1,2,3
0,16,1,0,0
1,17,1,0,0
2,18,1,0,0
3,19,1,0,0
4,21,1,0,0
5,22,1,0,0
6,23,1,0,0
7,24,1,0,0
8,26,1,0,0
9,27,1,0,0
10,28,1,0,0
11,29,1,0,0
12,31,1,0,0
13,32,1,0,0
14,33,1,0,0
15,34,1,0,0
16,36,1,0,0
17,37,1,0,0
18,38,1,0,0
19,39,1,0,0
20,41,1,0,0
21,42,1,0,0
22,43,1,0,0
23,44,1,0,0
24,46,1,0,0
25,47,1,0,0
26,48,1,0,0
27,49,1,0,0
28,51,1,0,0
29,52,1,0,0
30,53,1,0,0
31,54,1,0,0
32,56,1,0,0
33,57,1,0,0
34,58,1,0,0
35,59,1,0,0
36,61,1,0,0
37,62,1,0,0
38,63,1,0,0
39,64,1,0,0
40,66,1,0,0
41,67,1,0,0
42,68,1,0,0
43,69,1,0,0
44,71,1,0,0
45,72,1,0,0
46,73,1,0,0
47,74,1,0,0
48,91,1,0,0
49,92,1,0,0
50,93,1,0,0
51,94,1,0,0
52,96,1,0,0
53,97,1,0,0
54,98,1,0,0
55,99,1,0,0
56,101,1,0,0
57,102,1,0,0
58,103,1,0,0
59,104,1,0,0
60,106,1,0,0
61,107,1,0,0
62,108,1,0,0
63,109,1,0,0
64,111,1,0,0
65,112,1,0,0
66,113,1,0,0
67,114,1,0,0
68,116,1,0,0
69,117,1,0,0
70,118,1,0,0
71,119,1,0,0
72,121,1,0,0
73,122,1,0,0
74,123,1,0,0
75,124,1,0,0
76,126,1,0,0
77,127,1,0,0
78,128,1,0,0
79,129,1,0,0
80,131,1,0,0
81,132,1,0,0
82,133,1,0,0
83,134,1,0,0
84,136,1,0,0
85,137,1,0,0
86,138,1,0,0
87,139,1,0,0
88,141,1,0,0
89,142,1,0,0
90,143,1,0,0
91,144,1,0,0
92,146,1,0,0
93,147,1,0,0
94,148,1,0,0
95,149,1,0,0
96,166,1,0,0
97,167,1,0,0
98,168,1,0,0
99,169,1,0,0
100,171,1,0,0
101,172,1,0,0
102,173,1,0,0
103,174,1,0,0
104,176,1,0,0
105,177,1,0,0
106,178,1,0,0
107,179,1,0,0
108,181,1,0,0
109,182,1,0,0
110,183,1,0,0
111,184,1,0,0
112,186,1,0,0
113,187,1,0,0
114,188,1,0,0
115,189,1,0,0
116,191,1,0,0
117,192,1,0,0
118,193,1,0,0
119,194,1,0,0
120,196,1,0,0
121,197,1,0,0
122,198,1,0,0
123,199,1,0,0
124,201,1,0,0
125,202,1,0,0
126,203,1,0,0
127,204,1,0,0
128,206,1,0,0
129,207,1,0,0
130,208,1,0,0
131,209,1,0,0
132,211,1,0,0
133,212,1,0,0
134,213,1,0,0
135,214,1,0,0
136,216,1,0,0
137,217,1,0,0
138,218,1,0,0
139,219,1,0,0
140,221,1,0,0
141,222,1,0,0
142,223,1,0,0
143,224,1,0,0
144,226,0,1,0
145,227,0,1,0
146,228,0,1,0
147,229,0,1,0
148,231,0,1,0
149,232,0,1,0
150,233,0,1,0
151,234,0,1,0
152,236,0,1,0
153,237,0,1,0
154,238,0,1,0
155,239,0,1,0
156,240,0,0,1
157,241,0,0,0
158,242,0,0,0
159,243,0,0,0
160,244,0,0,0
161,245,0,0,1
162,246,0,0,0
163,247,0,0,0
164,248,0,0,0
165,249,0,0,0
166,250,0,0,1
167,251,0,0,0
168,252,0,0,0
169,253,0,0,0
170,254,0,0,0
171,255,0,0,1
172,256,0,0,0
173,257,0,0,0
174,258,0,0,0
175,259,0,0,0
176,260,0,0,1
177,261,0,0,0
178,262,0,0,0
179,263,0,0,0
180,264,0,0,0
181,265,0,0,1
182,266,0,0,0
183,267,0,0,0
184,268,0,0,0
185,269,0,0,0
186,270,0,0,1
187,271,0,0,0
188,272,0,0,0
189,273,0,0,0
190,274,0,0,0
191,275,0,0,1
192,276,0,0,0
193,277,0,0,0
194,278,0,0,0
195,279,0,0,0
196,280,0,0,1
197,281,0,0,0
198,282,0,0,0
199,283,0,0,0
200,284,0,0,0
201,285,0,0,1
