,0,1,2,3,4,5,6,7,8
0,16,A1,A1,A2,A2,reflexivity,0,0,O_1
1,17,A1,A1,A2,A3,reflexivity,0,0,O_1
2,18,A1,A1,A2,A4,reflexivity,0,0,O_1
3,19,A1,A1,A2,TX,reflexivity,0,0,O_1
4,21,A1,A1,A2,B2,reflexivity,0,0,O_1
5,22,A1,A1,A2,B3,reflexivity,0,0,O_1
6,23,A1,A1,A2,B4,reflexivity,0,0,O_1
7,24,A1,A1,A2,TY,reflexivity,0,0,O_1
8,26,A1,A1,A2,C2,reflexivity,0,0,O_1
9,27,A1,A1,A2,C3,reflexivity,0,0,O_1
10,28,A1,A1,A2,C4,reflexivity,0,0,O_1
11,29,A1,A1,A2,TZ,reflexivity,0,0,O_1
12,31,A1,A1,A3,A2,reflexivity,0,0,O_1
13,32,A1,A1,A3,A3,reflexivity,0,0,O_1
14,33,A1,A1,A3,A4,reflexivity,0,0,O_1
15,34,A1,A1,A3,TX,reflexivity,0,0,O_1
16,36,A1,A1,A3,B2,reflexivity,0,0,O_1
17,37,A1,A1,A3,B3,reflexivity,0,0,O_1
18,38,A1,A1,A3,B4,reflexivity,0,0,O_1
19,39,A1,A1,A3,TY,reflexivity,0,0,O_1
20,41,A1,A1,A3,C2,reflexivity,0,0,O_1
21,42,A1,A1,A3,C3,reflexivity,0,0,O_1
22,43,A1,A1,A3,C4,reflexivity,0,0,O_1
23,44,A1,A1,A3,TZ,reflexivity,0,0,O_1
24,46,A1,A1,A4,A2,reflexivity,0,0,O_1
25,47,A1,A1,A4,A3,reflexivity,0,0,O_1
26,48,A1,A1,A4,A4,reflexivity,0,0,O_1
27,49,A1,A1,A4,TX,reflexivity,0,0,O_1
28,51,A1,A1,A4,B2,reflexivity,0,0,O_1
29,52,A1,A1,A4,B3,reflexivity,0,0,O_1
30,53,A1,A1,A4,B4,reflexivity,0,0,O_1
31,54,A1,A1,A4,TY,reflexivity,0,0,O_1
32,56,A1,A1,A4,C2,reflexivity,0,0,O_1
33,57,A1,A1,A4,C3,reflexivity,0,0,O_1
34,58,A1,A1,A4,C4,reflexivity,0,0,O_1
35,59,A1,A1,A4,TZ,reflexivity,0,0,O_1
36,61,A1,A1,TX,A2,reflexivity,0,0,O_1
37,62,A1,A1,TX,A3,reflexivity,0,0,O_1
38,63,A1,A1,TX,A4,reflexivity,0,0,O_1
39,64,A1,A1,TX,TX,reflexivity,0,0,O_1
40,66,A1,A1,TX,B2,reflexivity,0,0,O_1
41,67,A1,A1,TX,B3,reflexivity,0,0,O_1
42,68,A1,A1,TX,B4,reflexivity,0,0,O_1
43,69,A1,A1,TX,TY,reflexivity,0,0,O_1
44,71,A1,A1,TX,C2,reflexivity,0,0,O_1
45,72,A1,A1,TX,C3,reflexivity,0,0,O_1
46,73,A1,A1,TX,C4,reflexivity,0,0,O_1
47,74,A1,A1,TX,TZ,reflexivity,0,0,O_1
48,91,A1,A1,B2,A2,reflexivity,0,0,O_1
49,92,A1,A1,B2,A3,reflexivity,0,0,O_1
50,93,A1,A1,B2,A4,reflexivity,0,0,O_1
51,94,A1,A1,B2,TX,reflexivity,0,0,O_1
52,96,A1,A1,B2,B2,reflexivity,0,0,O_1
53,97,A1,A1,B2,B3,reflexivity,0,0,O_1
54,98,A1,A1,B2,B4,reflexivity,0,0,O_1
55,99,A1,A1,B2,TY,reflexivity,0,0,O_1
56,101,A1,A1,B2,C2,reflexivity,0,0,O_1
57,102,A1,A1,B2,C3,reflexivity,0,0,O_1
58,103,A1,A1,B2,C4,reflexivity,0,0,O_1
59,104,A1,A1,B2,TZ,reflexivity,0,0,O_1
60,106,A1,A1,B3,A2,reflexivity,0,0,O_1
61,107,A1,A1,B3,A3,reflexivity,0,0,O_1
62,108,A1,A1,B3,A4,reflexivity,0,0,O_1
63,109,A1,A1,B3,TX,reflexivity,0,0,O_1
64,111,A1,A1,B3,B2,reflexivity,0,0,O_1
65,112,A1,A1,B3,B3,reflexivity,0,0,O_1
66,113,A1,A1,B3,B4,reflexivity,0,0,O_1
67,114,A1,A1,B3,TY,reflexivity,0,0,O_1
68,116,A1,A1,B3,C2,reflexivity,0,0,O_1
69,117,A1,A1,B3,C3,reflexivity,0,0,O_1
70,118,A1,A1,B3,C4,reflexivity,0,0,O_1
71,119,A1,A1,B3,TZ,reflexivity,0,0,O_1
72,121,A1,A1,B4,A2,reflexivity,0,0,O_1
73,122,A1,A1,B4,A3,reflexivity,0,0,O_1
74,123,A1,A1,B4,A4,reflexivity,0,0,O_1
75,124,A1,A1,B4,TX,reflexivity,0,0,O_1
76,126,A1,A1,B4,B2,reflexivity,0,0,O_1
77,127,A1,A1,B4,B3,reflexivity,0,0,O_1
78,128,A1,A1,B4,B4,reflexivity,0,0,O_1
79,129,A1,A1,B4,TY,reflexivity,0,0,O_1
80,131,A1,A1,B4,C2,reflexivity,0,0,O_1
81,132,A1,A1,B4,C3,reflexivity,0,0,O_1
82,133,A1,A1,B4,C4,reflexivity,0,0,O_1
83,134,A1,A1,B4,TZ,reflexivity,0,0,O_1
84,136,A1,A1,TY,A2,reflexivity,0,0,O_1
85,137,A1,A1,TY,A3,reflexivity,0,0,O_1
86,138,A1,A1,TY,A4,reflexivity,0,0,O_1
87,139,A1,A1,TY,TX,reflexivity,0,0,O_1
88,141,A1,A1,TY,B2,reflexivity,0,0,O_1
89,142,A1,A1,TY,B3,reflexivity,0,0,O_1
90,143,A1,A1,TY,B4,reflexivity,0,0,O_1
91,144,A1,A1,TY,TY,reflexivity,0,0,O_1
92,146,A1,A1,TY,C2,reflexivity,0,0,O_1
93,147,A1,A1,TY,C3,reflexivity,0,0,O_1
94,148,A1,A1,TY,C4,reflexivity,0,0,O_1
95,149,A1,A1,TY,TZ,reflexivity,0,0,O_1
96,166,A1,A1,C2,A2,reflexivity,0,0,O_1
97,167,A1,A1,C2,A3,reflexivity,0,0,O_1
98,168,A1,A1,C2,A4,reflexivity,0,0,O_1
99,169,A1,A1,C2,TX,reflexivity,0,0,O_1
100,171,A1,A1,C2,B2,reflexivity,0,0,O_1
101,172,A1,A1,C2,B3,reflexivity,0,0,O_1
102,173,A1,A1,C2,B4,reflexivity,0,0,O_1
103,174,A1,A1,C2,TY,reflexivity,0,0,O_1
104,176,A1,A1,C2,C2,reflexivity,0,0,O_1
105,177,A1,A1,C2,C3,reflexivity,0,0,O_1
106,178,A1,A1,C2,C4,reflexivity,0,0,O_1
